Number,Team Name,Points,Win,Draw,Lost,Average
1,Leverkusen,90,28, 6, 0,65
2,Stuttgart,73,23, 4, 7,39
3,Bayern,72,23, 3, 8,49
4,RB Leipzig,65,19, 8, 7,38
5,Dortmund,63,18, 9, 7,25
6,Frankfurt,47,11,14, 9, 1
7,Hoffenheim,46,13, 7,14, 0
8,Heidenheim,42,10,12,12,-5
9,Bremen,42,11, 9,14,-6
10,Freiburg,42,11, 9,14,-13
11,Augsburg,39,10, 9,15,-10
12,Wolfsburg,37,17,10, 7,-15
13,Mainz,35, 7,14,13,-12
14,M'gladbach,34, 7,13,14,-11
15,Union Berlin,33, 9, 6,19,-25
16,Bochum,33, 7,12,15,-32
17,Köln,27, 5,12,17,-32
18,Darmstadt,17, 3, 8,23,-56
