Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Mauro Icardi,CF,31,Galatasaray,25,1,Dries Mertens,CAM,37,Galatasaray,19
2, Edin Dzeko,CF,38,Fenerbahçe,21,2,Haris Hajradinovic,CM,30,Kasımpaşa,16
3, Rey Manaj,CF,27,Sivasspor,18,3,Dusan Tadic,LW,35,Fenerbahçe,14
4, Mame Thiam,CF,31,For 2 club,17,4,Deniz Türüç,RW,31,Başakşehir FK,12
5, Krzysztof Piątek,CF,28,Başakşehir FK,17,5,Edin Visca,RW,34,Trabzonspor,12
