Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Lewandowski,CF,32,Bayern Münih,41,1,Müller,CF,31,Bayern Münih,21
2, André Silva,CF,25,Frankfurt,28,2,Filip Kostić,LM,28,Frankfurt,17
3, Haaland,CF,20,Dortmund,27,3,Daichi Kamada,AM,24,Frankfurt,13
4, Wout Weghorst,CF,28,Wolfsburg,20,4,Jadon Sancho,LW,21,Dortmund,12
5, Kramaric,CF,29,Hoffenheim,20,5,Kingsley Coman,LW,24,Bayern Münih,12
