Number,Team Name,Points,Win,Draw,Lost,Average
1,Real Madrid,95,29, 8, 1,61
2,Barça,85,26, 7, 5,35
3,Girona,81,25, 6, 7,39
4,Athletico Mad,76,24, 4,10,27
5,Atletic,68,19,11, 8,24
6,Real Sociedad,60,16,12,10,12
7,Real Betis,57,14,15, 9, 3
8,Villarreal,53,14,11,13, 0
9,Valencia,49,13,10,15,-5
10,Alaves,46,12,10,16,-10
11,Osasuna,45,12, 9,17,-11
12,Getafe,43,10,13,15,-12
13,Celta,41,10,11,17,-11
14,Sevilla FC,41,10,11,17,-6
15,Mallorca,40, 8,16,14,-11
16,Las Palmas,40,10,10,18,-14
17,Rayo Vallecano,38, 8,14,16,-19
18,Cadiz,33, 6,15,17,-29
19,Almeria,21, 3,12,23,-32
20,Granada,21, 4, 9,25,-41
