Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Enner Valencia,CF,33,Fenerbahçe,29,1,Kerem Aktürkoğlu,LW,24,Galatasaray,12
2, Mbaye Diagne,CF,31,Karagümrük,23,2,Fabio Borini,LW,32,Karagümrük,9
3, Mauro Icardi,CF,30,Galatasaray,22,3,Guilherme,LB,33,Konyaspor,9
4, Fabio Borini,LW,32,Karagümrük,20,4,Salih Uçan,CDM,29,Beşiktaş JK,8
5, Umut Nayir,CF,29,Ümraniyespor,17,5,Caner Erkin,LB,34,For 2 club,7
