Number,Team Name,Points,Win,Draw,Lost,Average
1,Barça,88,28, 4, 6,50
2,Real Madrid,78,24, 6, 8,39
3,Athletico Mad,77,23, 8,7,37
4,Real Sociedad,71,21, 8, 9,16
5,Villarreal,64,19, 7,12,19
6,Real Betis,60,17, 9,12, 5
7,Osasuna,53,15, 8,15,-5
8,Atletic,51,14, 9,15, 4
9,Mallorca,50,14, 8,16,-6
10,Girona,49,13,10,15, 3
11,Rayo Vallecano,49,13,10,15,-8
12,Sevilla FC,49,13,10,15,-7
13,Celta,43,11,10,17,-10
14,Cadiz,42,10,12,16,-23
15,Getafe,42,10,12,16,-11
16,Valencia,42,11, 9,18,-3
17,Almeria,41,11, 8,19,-16
18,Valladolid,40,11, 7,20,-30
19,Espanyol,37, 8,13,17,-17
20,Elche,25, 5,10,23,-37
