Number,Team Name,Points,Win,Draw,Lost,Average
1,Bayern,78,24, 6, 4,55
2,RB Leipzig,65,19, 8, 7,28
3,Dortmund,64,20, 4,10,29
4,Wolfsburg,61,17,10, 7,24
5,Frankfurt,60,16,12, 6,16
6,Leverkusen,52,14,10,10,14
7,Union Berlin,50,12,14, 8, 7
8,M'gladbach,49,13,10,11, 8
9,Stuttgart,45,12, 9,13, 1
10,Freiburg,45,12, 9,13, 0
11,Hoffenheim,43,11,10,13,-2
12,Mainz,39,10, 9,15,-17
13,Augsburg,36,10, 6,18,-18
14,Hertha Berlin, 8,11,15,22,-11
15,Arminia,35, 9, 8,17,-26
16,Köln,33, 8, 9,17,-21
17,Bremen,31, 7,10,17,-21
18,Schalke,16, 3, 7,24,-61
