Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Ciro Immobile,CF,32,Lazio Rom,27,1,Berardi,RW,27,Sassuolo,17
2, Dušan Vlahović,CF,22,For 2 club,24,2,Hakan Çalhanoğlu,DM,28,Inter Milan,13
3, Martínez,CF,24,Inter Milan,21,3,Barella,CM,25,Inter Milan,13
4, Giovanni,CF,26,For 2 club,17,4,Candreva,AM,35,Sampdoria,12
5, Tammy Abraham,CF,24,Roma,17,5,Luis Alberto,AM,29,Lazio,11
