Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Harry Kane,CF,30,Bayern Münih,36,1,Grimaldo,LB,28,Leverkusen,15
2, Serhou Guirassy,CF,28,VfB Stuttgart,28,2,Jan-Niklas Beste,LB,25,1.Heidenheim,13
3, Loïs Openda,CF,24,RB Leipzig,24,3,Xavi Simons,OM,21,RB Leipzig,13
4, Deniz Undav,CF,27,VfB Stuttgart,18,4,Florian Wirtz,OM,21,Leverkusen,12
5, Maximilian Beier,CF,21,Hoffenheim,16,5,Julian Brandt,OM,28,Dortmund,12
