Number,Team Name,Points,Win,Draw,Lost,Average
1,Man City,89,28, 5, 5,61
2,Arsenal,84,26, 6, 6,45
3,Man United,75,23, 6, 9,15
4,Newcastle,71,19,14, 5,35
5,Liverpool,67,19,10, 9,28
6,Brighton,62,18, 8,12,19
7,Aston Villa,61,18, 7,13, 5
8,Tottenham,60,18, 6,14, 7
9,Brentford,59,15,14, 9,12
10,Fulham,52,15, 7,16, 2
11,Crystal Palace,45,11,12,15,-9
12,Chelsea,44,11,11,16,-9
13,Wolverhampton,41,11, 8,19,-27
14,West Ham,40,11, 7,20,-13
15,Bournemouth,39, 6,21,16,-34
16,Nottingham,38, 9,11,18,-30
17,Everton,36, 8,12,18,-23
18,Leicester City, 9, 7,22,24,-17
19,Leeds United,31, 7,10,21,-30
20,Southampton,25, 6, 7,25,-37
