Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Messi,RW,33,FC Barça,30,1,Iago Aspas,CF,33,Celta Vigo,13
2, Benzema,CF,33,Real Madrid,23,2,Messi,RW,33,FC Barça,11
3, Gerard Moreno,CF,29,Villarreal CF,23,3,Marcos Llorente,RW,26,Atlético,11
4, Luis Suárez,CF,34,Atlético,21,4,Toni Kroos,CM,31,Real Madrid,10
5, En-Nesyri,CF,23,Sevilla FC,18,5,Yannick Carrasco,LW,27,Atlético,10
