Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Martínez,CF,26,Inter Milan,24,1,Marcus Thuram,CF,26,Inter Milan,13
2, Dušan Vlahović,CF,24,Juventus,16,2,Rafael Leão,LW,24,Milan,10
3, Olivier Giroud,CF,37,Milan,15,3,Mkhitaryan,CM,35,Inter Milan,10
4, Osimhen,CF,25,Napoli,15,4,Paulo Dybala,AM,30,AS Roma,9
5, Gudmundsson,CF,26,Genoa CFC,14,5,Pulisic,RW,25,Milan,9
