Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Erling Haaland,CF,22,Man City,36,1,Kevin De Bruyne,CM,31,Man City,18
2, Harry Kane,CF,29,Tot Hotspur,30,2,Leandro Trossard,LW,28,2 kulüp için,13
3, Ivan Toney,CF,27,FC Brentford,20,3,Mohamed Salah,RW,30,FC Liverpool,12
4, Mohamed Salah,RW,30,FC Liverpool,19,4,Michael Olise,RW,21,Crystal Palace,11
5, Callum Wilson,CF,31,Newcastle United,18,5,Bukayo Saka,RW,21,Arsenal,11
