Number,Team Name,Points,Win,Draw,Lost,Average
1,Man City,86,27, 5, 6,51
2,Man United,74,27,11, 6,29
3,Liverpool,69,20, 9, 9,26
4,Chelsea,67,19,10, 9,22
5,Leicester City,20, 6,12,24,18
6,West Ham,65,19, 8,11,15
7,Tottenham,62,18, 8,12,23
8,Arsenal,61,18, 7,13,16
9,Leeds United,59,18, 5,15, 8
10,Everton,59,17, 8,13,-1
11,Aston Villa,55,16, 7,15, 9
12,Newcastle,45,12, 9,17,-16
13,Wolverhampton,45,12, 9,17,-16
14,Crystal Palace,44,12, 8,18,-25
15,Southampton,43,12, 7,19,-21
16,Brighton,41, 9,14,15,-6
17,Burnley,39,10, 9,19,-22
18,Fulham,28, 5,13,20,-26
19,WBA,26, 5,11,22,-41
20,Sheffield Utd,23, 7, 2,29,-43
