Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Ronaldo,CF,36,Juventus,29,1,Malinovskyi,OM,28,Atalanta,12
2, Romelu Lukaku,CF,28,Inter Milan,24,2,Juan Cuadrado,RM,32,Juventus,11
3, Luis Muriel,CF,30,Atalanta,22,3,Mkhitaryan,CM,32,Roma,11
4, Dušan Vlahović,CF,21,Fiorentina,21,4,Piotr Zieliński,CM,27,Napoli,11
5, Ciro Immobile,CF,31,Lazio,20,5,Josip Ilicic,OM,33,Atalanta,10
