Number,Team Name,Points,Win,Draw,Lost,Average
1,Napoli,90,28, 6, 4,49
2,Lazio,74,22, 8, 8,30
3,Inter,72,23, 3,12,29
4,Milan,70,20,10, 8,21
5,Atalanta,64,19, 7,12,18
6,Roma,63,18, 9,11,12
7,Juventus,62,22, 6,10,23
8,Fiorentina,56,15,11,12,10
9,Bologna,54,14,12,12, 4
10,Torino,53,14,11,13, 1
11,Monza,52,14,10,14,-4
12,Udinese,46,11,13,14,-1
13,Sassuolo,45,12, 9,17,-14
14,Empoli,43,10,13,15,-12
15,Salernitana,42, 9,15,14,-14
16,Lecce,36, 8,12,18,-13
17,Verona,31, 7,10,21,-28
18,Spezia,31, 6,13,19,-31
19,Cremonese,27, 5,12,21,-33
20,Sampdoria,19, 3,10,25,-47
