Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Mohamed Salah,RW,29,FC Liverpool,23,1,Mohamed Salah,RW,29,FC Liverpool,23
2, Heung-min Son,LW,29,Tot Hotspur,23,2,Heung-min Son,LW,29,Tot Hotspur,23
3, Cristiano Ronaldo,CF,37,Man United,18,3,Cristiano Ronaldo,CF,37,Man United,18
4, Harry Kane,CF,28,Tot Hotspur,17,4,Harry Kane,CF,28,Tot Hotspur,17
5, Sadio Mané,LW,30,FC Liverpool,16,5,Sadio Mané,LW,30,FC Liverpool,16
