Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Umut Bozok,CF,25,Kasımpaşa,20,1,Edin Visca,RW,32,for 2 club,14
2, Mario Balotelli,CF,31,Adana Demirspor,18,2,Efecan Karaca,CM,32,Alanyaspor,13
3, Ayoub El Kaabi,CF,28,Hatayspor,18,3,Matías Vargas,LW,25,Adana Demirspor,13
4, Joel Pohjanpalo,CF,27,Çaykur Rizespor,16,4,Max Gradel,LW,34,Sivasspor,12
5, Andreas Cornelius,CF,29,Trabzonspor,15,5,Yunus Akgün,RW,21,Adana Demirspor,11
