Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Erling Haaland,CF,23,Man City,27,1,Ollie Watkins,CF,28,Aston Villa,13
2, Cole Palmer,CAM,22,for 2 club,22,2,Cole Palmer,CAM,22,2 kulüp için,11
3, Alexander Isak,CF,24,New United,21,3,Kevin De Bruyne,CAM,32,Man City,10
4, Ollie Watkins,CF,28,Aston Villa,19,4,Kieran Trippier,RB,33,New United,10
5, Phil Foden,RW,23,Man City,19,5,Jérémy Doku,LB,21,Man City,10
