Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Benzema,CF,34,Real Madrid,27,1,Dembélé,RW,25,FC Barça,13
2, Vinicius,LF,21,Real Madrid,17,2,Vinicius,LF,21,Real Madrid,13
3, Iago Aspas,CF,34,Celta Vigo,17,3,Benzema,CF,34,Real Madrid,12
4, Raúl de Tomás,CF,27,Espanyol,17,4,Iker Muniain,CM,29,Athletic Bilbao,11
5, Juanmi,LF,29,Real Betis,16,5,Jordi Alba,LB,33,FC Barça,10
