Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Artem Dovbyk,CF,26,Girona FC,24,1,Nico Williams,LW,21,Athletic,14
2, Alexander Sørloth,CF,28,Villarreal CF,23,2,Álex Baena,LW,22,Villarreal CF,14
3, Lewandowski,CF,35,FC Barça,19,3,Yan Couto,RB,21,Girona FC,10
4, Bellingham,CM,20,Real Madrid,19,4,Iago Aspas,CF,36,Celta Vigo,10
5, Ante Budimir,CF,32,CA Osasuna,17,5,Savinho,RW,20,Girona FC,10
