Number,Team Name,Points,Win,Draw,Lost,Average
1,Athletico Mad,86,26, 8, 4,42
2,Real Madrid,84,25, 9, 4,39
3,Barça,79,24, 7, 7,47
4,Sevilla FC,77,24, 5, 9,20
5,Real Sociedad,62,17,11,10,21
6,Real Betis,61,17,10,11, 0
7,Villarreal,58,15,13,10,16
8,Celta,53,14,11,13,-2
9,Granada,46,13, 7,18,-18
10,Atletic,46,11,13,14, 4
11,Osasuna,44,11,11,16,-11
12,Cadiz,44,11,11,16,-22
13,Valencia,43,10,13,15,-3
14,Levante,41, 9,14,15,-11
15,Getafe,38, 9,11,18,-15
16,Alaves,38, 9,11,28,-21
17,Elche,36, 8,12,18,-21
18,Huesca,34, 7,13,18,-19
19,Valladolid,31, 5,16,17,-23
20,Eibar,30, 6,12,20,-23
