Number,Team Name,Points,Win,Draw,Lost,Average
1,Bayern,77,24, 5, 5,60
2,Dortmund,69,22, 3, 9,33
3,RB Leipzig,64,19, 7, 8,33
4,Union Berlin,58,17, 7,10,35
5,Freiburg,57,16, 9, 9, 6
6,Leverkusen,55,15,10, 9,12
7,Frankfurt,52,14,10,10, 3
8,Wolfsburg,46,13, 7,14, 5
9,Mainz,46,13, 7,14,-2
10,M'gladbach,45,12, 9,13,-7
11,Köln,42,10,12,12,-4
12,Hoffenheim,42,12, 6,16,-11
13,Bremen,42,12, 6,16,-14
14,Bochum,38,10, 8,16,-17
15,Augsburg,33, 7,12,15,-18
16,Stuttgart,33, 9, 6,19,-34
17,Schalke,28, 5,13,16,-26
18,Hertha Berlin,18, 3, 9,22,-54
