Number,Team Name,Points,Win,Draw,Lost,Average
1,Beşiktaş,84,26, 6, 8,45
2,Galatasaray,84,26, 6, 8,44
3,Fenerbahçe,82,25, 7, 8,31
4,Trabzonspor,71,19,14, 7,13
5,Sivasspor,65,16,17, 7,11
6,Hatayspor,61,17,10,13, 9
7,Alanyaspor,60,17, 9,14,13
8,Karagümrük,60,16,12,12,12
9,GaziantepFK,58,15,13,12, 8
10,Göztepe,51,13,12,15, 0
11,Konyaspor,50,12,14,14, 1
12,Başakşehir,48,12,12,16,-12
13,Rizespor,48,12,12,16,-16
14,Kasımpaşa,46,12,10,18,-10
15,YeniMalatya,45,10,15,15,-4
16,Antalyaspor,44, 9,17,14,-14
17,Kayserispor,41, 9,14,17,-17
18,Erzurumspor,40,10,10,20,-24
19,Ankaragücü,38,10, 8,22,-19
20,Gençlerbirliği,38,10, 8,22,-32
21,Denizlispor,28, 6,10,24,-39
