Number,Team Name,Points,Win,Draw,Lost,Average
1,Galatasaray,102,33, 3, 2,66
2,Fenerbahçe,99,31, 6, 1,68
3,Trabzonspor,67,21, 4,13,19
4,Başakşehir,61,18, 7,13,14
5,Kasımpaşa,56,16, 8,14,-3
6,Beşiktaş,56,16, 8,14, 5
7,Sivasspor,54,14,12,12,-7
8,Alanyaspor,52,12,16,10, 3
9,Rizespor,50,14, 8,16,-10
10,Antalyaspor,49,12,13,13,-5
11,Gaziantep FK,44,12, 8,18,-7
12,Adana Demirspor,44,10,14,14,-7
13,Samsunspor,43,11,10,17,-10
14,Kayserispor,42,11,12,15,-13
15,Hatayspor,41, 9,14,15,-7
16,Konyaspor,41, 9,14,15,-13
17,Ankaragücü,40, 8,16,14,-6
18,Karagümrük,40,10,10,18,-3
19,Pendikspor,37, 9,10,19,-31
20,İstanbulspor,16, 4, 7,27,-53
