Number,Team Name,Points,Win,Draw,Lost,Average
1,Galatasaray,88,28, 4, 4,56
2,Fenerbahçe,80,25, 5, 6,45
3,Beşiktaş,78,23, 9, 4,42
4,AdanaDemirspor,69,20, 9, 7,31
5,Başakşehir,62,18, 8,10,17
6,Trabzonspor,57,17, 6,13,10
7,Karagümrük,51,13,12,11,12
8,Konyaspor,51,12,15, 9, 8
9,Kayserispor,47,15, 5,16,-6
10,Kasımpaşa,43,12, 7,17,-16
11,Ankaragücü,42,12, 6,18,-10
12,İstanbulspor,41,12, 5,19,-16
13,Antalyaspor,41,11, 8,17,-9
14,Sivasspor,41,11, 8,17,-8
15,Alanyaspor,41,11, 8,17,-16
16,Giresunspor,40,10,10,16,-18
17,Ümraniyespor,30, 7, 9,20,-17
18,GaziantepFK,25, 6, 7,23,-41
19,Hatayspor,23, 6, 5,25,-64
