Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Robert Lewandowski,CF,34,FC Barça,23,1,Griezmann,CF,32,Atlético Madrid,17
2, Karim Benzema,CF,35,Real Madrid,19,2,Vinicius,LF,22,Real Madrid,10
3, Joselu,CF,33,Espanyol,16,3,Mikel Merino,CM,26,Real Sociedad,9
4, Antoine Griezmann,CF,32,Atlético,15,4,Rodrygo,RF,22,Real Madrid,9
5, Vedat Muriqi,CF,29,RCD Mallorca,15,5,Dembélé,RF,26,FC Barça,7
