Number,Team Name,Points,Win,Draw,Lost,Average
1,Inter,94,29, 7, 2,67
2,Milan,75,22, 9, 7,27
3,Juventus,71,19,14, 5,23
4,Atalanta,69,21, 6,11,30
5,Bologna,68,18,14, 6,22
6,Roma,63,18, 9,11,19
7,Lazio,61,18, 7,13,10
8,Fiorentina,60,17, 9,12,15
9,Torino,53,13,14,11, 0
10,Napoli,53,13,14,11, 7
11,Genoa,49,12,13,13, 0
12,Monza,45,11,12,15,-12
13,Verona,38, 9,11,18,-13
14,Lecce,38, 8,14, 16,-22
15,Udinese,37, 6,19,13,-16
16,Cagliari,36, 8,12,18,-26
17,Empoli,36, 9, 9,20,-25
18,Frosinone,35, 8,11,19,-25
19,Sassuolo,30, 7, 9,22,-32
20,Salernitana,17, 2,11,25,-49
