Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Harry Kane,CF,27,Tot Hotspur,23,1,Harry Kane,CF,27,Tot Hotspur,14
2, Mohamed Salah,RW,28,FC Liverpool,22,2,Kevin De Bruyne,CM,29,Man City,12
3, Bruno Fernandes,CM,26,Man United,18,3,Bruno Fernandes,CM,26,Man United,11
4, Heung-min Son,LW,28,Tot Hotspur,17,4,Jack Grealish,LW,25,Aston Villa,10
5, Patrick Bamford,CF,27,Leeds United,17,5,Heung-min Son,LW,28,Tot Hotspur,10
