Number,Team Name,Points,Win,Draw,Lost,Average
1,Inter,91,28, 7, 3,54
2,Milan,79,24, 7, 7,33
3,Atalanta,78,23, 9, 6,43
4,Juventus,78,23, 9, 6,39
5,Napoli,77,24, 5, 9,45
6,Lazio,68,21, 5,12, 6
7,Roma,62,18, 8,12,10
8,Sassuolo,62,17,11,10, 8
9,Sampdoria,52,15, 7,16,-2
10,Verona,45,11,12,15,-2
11,Genoa,42,10,12,16,-11
12,Bologna,41,10,11,17,-14
13,Fiorentina,40, 9,13,16,-12
14,Udinese,40,10,10,18,-16
15,Spezia,39, 9,12,17,-20
16,Cagliari,37, 9,10,19,-16
17,Torino,37, 7,16,15,-19
18,Benevento,33, 7,12,19,-35
19,Crotone,23, 6, 5,27,-47
20,Parma,20, 3,11,24,-44
