Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Aaron Boupendza,CF,24,Hatayspor,22,1,Rachid Ghezzal,RW,29,Beşiktaş JK,17
2, Cyle Larin,CF,26,Beşiktaş JK,19,2,Max Gradel,LW,33,Sivasspor,14
3, Mame Diouf,CF,33,Hatayspor,19,3,Halil Akbunar,RW,27,Göztepe,13
4, Adem Büyük,CF,33,Yeni Malatyaspor,17,4,Atiba Hutchinson,CDM,38,Beşiktaş JK,11
5, Muhammet Demir,CF,29,Gaziantep FK,15,5,Ozan Tufan,CM,26,Fenerbahçe,10
