Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Osimhen,CF,24,Napoli,26,1,Kvaratskhelia,LW,22,Napoli,13
2, Martínez,CF,25,Inter Milan,21,2,Rafael Leão,LW,23,Milan,10
3, Boulaye Dia,CF,26,Salernitana,16,3,Zieliński,CM,29,Napoli,9
4, Rafael Leão,LW,23,Milan,15,4,Ademola Lookman,AM,25,Atalanta,8
5, Lookman,AM,25,Atalanta Bergamo,13,5,Musa Barrow,LW,24,Bologna,8
