Number,Name,Ps,Age,Team,Goal,Numbera,Namea,Psa,Agea,Teama,Assist
1, Lewandowski,CF,33,Bayern Münih,35,1,Müller,AM,32,Bayern Münih,21
2, Patrik Schick,CF,26,Leverkusen,24,2,Marco Reus,AM,32,Dortmund,16
3, Haaland,CF,21,Dortmund,22,3,Nkunku,AM,24,Leipzig,15
4, Nkunku,OM,24,Leipzig,20,4,David Raum,LB,24,Hoffenheim,13
5, Anthony,CF,34,1.FC Köln,20,5,Joshua Kimmich,CDM,27,Bayern Münih,12
